title,url,view,upload_date
중국 어린 시절 문구점 간식 2탄,https://youtube.com/shorts/ch7P3vRYxQ8,조회수 256만회,2개월 전
요즘 핫한 일본여행 돈키호테 쇼핑리스트..!!!,https://youtube.com/shorts/IK5_d1LwRUE,조회수 99만회,9개월 전
SNS핫한📈 다이어트 고구마깨찰빵..🍠 꼭 만들어보세요(준비물 단3가지),https://youtube.com/shorts/tvSmcgQQ5yw,조회수 97만회,9개월 전
쿠팡 품절 간식 3가지 #살림남,https://youtube.com/shorts/4rPOb5xM_ns,조회수 47만회,2개월 전
지금 미국에서 제일 핫한 간식,https://youtube.com/shorts/CnJSWB7g5CE,조회수 38만회,2주 전
중국 쌉고수와 함께 하는 요즘 핫한 중국 간식들 리뷰,https://youtube.com/watch?v=U3cLYZORnH0&pp=ygUU7ZWr7ZWcIOqwhOyLnSDsnYzsi50%3D,조회수 17만회,8개월 전
해외 틱톡에서 핫한 피클간식 + 젤리?! 머거 보쟈 🥒 💙,https://youtube.com/shorts/OPNbbUbmVU0,조회수 13만회,1개월 전
요즘 핫한 감자요리 🥔  초간단 해쉬브라운 만드는법 #요리 #레시피 #cooking #recipe #간식 #술안주,https://youtube.com/shorts/L5IHegDBSE8,조회수 8.1만회,3개월 전
아빠랑 핫한 간식 #딕만스 먹어봤다.,https://youtube.com/shorts/pitUORs2pRU,조회수 4.3만회,7개월 전
오뚜기 스프 과자? 츄파춥스 무지개떡 젤리?,https://youtube.com/shorts/cPoevD7CvUg,조회수 8.3만회,9개월 전
요즘 핫한 찰떡 초코칩,https://youtube.com/shorts/ZyqwUH-RITI,조회수 1.9만회,6개월 전
핫한 두바이초콜릿 뒤를 이을 해태제과 오예스피스타치오 #신상과자 #간식추천 #shorts,https://youtube.com/shorts/aVkT5qvtFmk,조회수 1.8만회,4개월 전
✨요즘 핫한 딕만스 얼려먹기✨,https://youtube.com/shorts/WAZV9eswCBk,조회수 1.7만회,6개월 전
